word,size
あ,3215
い,3240
う,1817
え,1143
お,3091
か,5676
き,4125
く,1669
け,1640
こ,4042
さ,2410
し,6932
す,1700
せ,2645
そ,1800
た,2669
ち,2430
つ,1563
て,1859
と,2560
な,1592
に,1133
ぬ,250
ね,657
の,756
は,3215
ひ,2424
ふ,2613
へ,782
ほ,1619
ま,1664
み,1513
む,880
め,984
も,1177
や,1069
ゆ,1077
よ,1400
ら,713
り,1284
る,175
れ,681
ろ,576
わ,834
を,1
ん,4
